#{"t_start": 1670722893.565651, "env_id": null}
r,l,t
-224.382116,423,3.199491
-320.484238,671,5.495822
-442.948809,377,6.801631
-189.567285,507,8.563939
-1.70644,472,10.16125
-89.066489,647,12.403434
-5.238671,486,14.030764
-0.103636,441,15.578069
-23.686795,530,17.354085
-74.855393,551,19.213276
175.737658,710,21.581835
273.370927,930,24.536001
490.300046,970,27.932456
449.222365,898,30.947134
439.237289,1159,34.872352
1419.818355,1202,39.025648
802.623345,1202,43.160182
710.153115,1202,47.276941
799.676547,1202,51.237915
727.711845,1202,55.238605
717.330885,1202,59.027816
746.284297,1202,63.150047
708.514426,1202,67.137865
778.043909,1202,71.136479
715.031192,1202,75.306188
740.127691,1202,79.561564
808.235724,1202,84.191278
769.53087,1202,88.288424
774.459088,1202,92.848508
750.121735,1202,97.292932
771.342452,1202,101.499271
794.461219,1202,105.626408
844.759662,1202,109.886566
861.036792,1202,113.958417
978.61989,1202,118.269916
913.85848,1202,122.305109
902.629382,1202,126.304028
778.00165,1202,130.349386
798.027715,1202,134.412472
768.172704,1202,138.473303
817.837655,1202,142.614368
869.824778,1202,146.784609
898.919,1202,150.92218
829.114235,1202,155.020266
862.442763,1202,159.076524
880.442759,1202,163.144165
772.702552,1202,167.109659
773.19875,1202,171.042435
751.260071,1202,175.528167
861.052718,1202,179.93872
899.138935,1202,184.24641
760.747018,1202,188.747945
743.901032,1202,193.048007
988.041218,1202,197.337554
775.162032,1202,201.770801
768.683556,1202,206.041265
686.206991,1202,209.84281
796.319504,1202,213.730836
706.681939,1202,217.869734
732.609397,1202,221.67046
724.966522,1202,225.487686
737.819649,1202,229.503717
757.150696,1202,233.434439
708.470732,1202,237.423863
716.047573,1202,241.55011
715.950451,1202,245.43647
757.607794,1202,249.891215
693.927379,1202,253.930586
791.149086,1202,258.076843
749.724866,1202,262.088031
1465.717761,1202,266.234817
749.724866,1202,270.206241
678.289407,1202,274.23628
761.942418,1202,278.350506
725.629906,1202,282.49807
749.724866,1202,286.545416
765.606406,1202,290.786195
717.268326,1202,295.038686
1004.830166,1202,299.655901
730.590651,1202,304.102732
660.387084,1202,308.526672
835.700495,1122,312.381174
832.617908,1202,316.495746
772.182141,1202,320.363719
708.847862,1202,324.559935
577.454836,871,327.659922
738.518049,1202,331.964292
593.289042,746,334.882648
376.831008,1034,338.620802
779.759488,1202,343.048726
1286.436476,1202,347.153398
1760.181637,1202,351.549768
1487.608441,915,354.506382
695.074302,824,357.496511
676.140997,926,360.99146
930.775556,1202,365.33534
837.994189,859,368.670339
543.798298,909,371.996012
1169.846789,1202,376.146138
1326.884906,1106,380.200699
623.809821,777,382.989544
1017.451511,931,386.581396
700.67301,914,390.036451
1356.75655,905,392.924829
718.745186,817,395.744338
997.311619,1202,399.56971
1395.398779,1115,403.555933
2123.333079,1202,407.689597
1500.81565,1202,411.806568
927.772618,1202,416.134155
809.804705,945,419.321024
1340.949098,1202,423.133465
890.90943,1202,426.858987
928.212072,1202,430.689528
859.200021,1202,434.986339
823.682557,1202,439.138989
878.856521,1202,443.099597
820.787746,1202,447.20194
858.256206,1202,451.223223
1004.137935,1202,455.380942
788.548454,1202,459.478878
854.862533,1202,463.502641
877.767149,1202,467.4711
804.843616,1202,471.57311
984.49637,1090,475.320726
749.931077,1202,479.597383
755.416509,1202,483.516905
891.891341,1202,487.847826
874.852715,1202,491.889367
905.342802,1202,495.894623
807.509612,1202,500.021962
842.081879,1202,504.100934
644.811839,1202,508.219886
925.132655,1202,512.355875
653.273423,1202,516.451332
621.51954,1202,520.598166
402.397326,1202,524.800139
649.134842,1202,528.837853
733.366422,1202,532.875377
550.74913,1202,537.168794
859.238798,1202,541.558782
628.226535,1202,545.36326
617.847948,1202,549.668533
699.410888,1202,554.057877
638.161234,1202,558.494171
-311.31585,1202,562.712981
318.616523,1202,566.721104
475.165869,1202,570.986217
773.936691,1202,575.117404
739.390442,1202,579.395079
902.039285,1202,583.520191
406.114294,928,586.430033
997.863084,1202,590.305112
712.317444,1202,594.076896
1382.761905,1202,598.057274
1193.122574,1202,602.212816
977.444487,1202,606.171489
1100.24047,1202,610.547791
1053.43082,1202,614.892733
815.095811,1202,618.972441
836.006205,1202,623.297375
1157.100825,1202,627.534297
818.489552,1202,631.663813
975.901263,1202,636.118171
892.330196,1202,639.746018
587.453192,1202,643.493794
721.113054,1202,647.450346
608.22641,1202,651.510363
740.006653,1202,655.518903
734.821464,1202,659.186479
416.894731,1072,662.798148
712.901271,1202,666.867187
749.427599,1202,670.976013
749.724866,1202,674.858961
643.343351,1202,678.783683
721.915864,1202,682.832396
467.808693,997,686.155305
798.693895,1202,690.197438
734.636697,1202,694.171062
309.964657,708,696.467722
726.754012,966,699.801036
355.021484,1029,703.397228
1531.436996,1202,707.435208
1039.272771,1119,710.917008
749.724866,1202,714.766707
749.724866,1202,718.658855
773.854521,1202,722.529105
863.725256,1202,727.096164
421.745225,1067,730.828976
913.614778,1202,734.958405
1505.127393,1202,739.291173
2277.957872,1202,743.780421
1892.48809,1202,747.834478
1383.089192,1202,752.000139
753.2335,1202,755.972822
892.110542,1202,760.317034
1456.193335,1202,764.662287
1238.92106,1202,768.690322
1277.588146,1202,773.045588
959.20068,1202,777.375183
